condition,loss_pct,delay_ms,jitter_ms,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,polarization_fidelity,attenuation_db_per_km,distance_km,run,note,source_file,lhs_point_id,detector_efficiency,dark_count_rate,alice_delay_ms,bob_delay_ms
loss_1pct,1.0,,,0.0052770448548812,3796.0,3092.0,0.3092,51.32189130783081,60.24719512876205,,,1.0,2.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_5pct,5.0,,,0.0236220472440944,3817.0,2327.0,0.2327,58.85375237464905,39.538685404235046,,,1.0,2.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_15pct,15.0,,,0.0105263157894736,3805.0,2847.0,0.2847,82.0644462108612,34.69224653858933,,,1.0,2.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
baseline,,,,0.0026315789473684,3809.0,3248.0,0.3248,47.6513397693634,68.16177710260824,,,1.0,3.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_1pct,1.0,,,0.0182291666666666,3846.0,2552.0,0.2552,50.56911039352417,50.46559016246421,,,1.0,3.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_5pct,5.0,,,0.0131578947368421,3804.0,2731.0,0.2731,49.43296027183533,55.2465396565781,,,1.0,3.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_15pct,15.0,,,0.0054644808743169,3665.0,2976.0,0.2976,58.41315793991089,50.9474252883466,,,1.0,3.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
baseline,,,,0.0078125,3840.0,3000.0,0.3,48.8128833770752,61.459184388376855,,,10.0,1.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_1pct,1.0,,,0.0106382978723404,3761.0,2809.0,0.2809,49.56546807289124,56.67252038998341,,,10.0,1.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_5pct,5.0,,,0.0133333333333333,3759.0,2692.0,0.2692,49.81175351142883,54.043469868659535,,,10.0,1.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_15pct,15.0,,,0.0211640211640211,3786.0,2399.0,0.2399,85.56830382347107,28.03608220339601,,,10.0,1.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
baseline,,,,0.010443864229765,3837.0,2875.0,0.2875,49.500131607055664,58.08065366012487,,,10.0,2.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_1pct,1.0,,,0.0103896103896103,3854.0,2890.0,0.289,49.63880801200867,58.220576112561936,,,10.0,2.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_5pct,5.0,,,0.0131578947368421,3806.0,2733.0,0.2733,56.07918334007263,48.73466119195559,,,10.0,2.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_15pct,15.0,,,0.0052083333333333,3847.0,3137.0,0.3137,84.9526960849762,36.92643252736949,,,10.0,2.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
baseline,,,,0.0211640211640211,3789.0,2401.0,0.2401,48.88195872306824,49.11832632571916,,,10.0,3.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_1pct,1.0,,,0.0079575596816976,3778.0,2945.0,0.2945,53.289639711380005,55.26402535183767,,,10.0,3.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_5pct,5.0,,,0.010443864229765,3830.0,2869.0,0.2869,86.70851993560791,33.08786728375247,,,10.0,3.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_15pct,15.0,,,0.0210526315789473,3807.0,2417.0,0.2417,138.27225732803345,17.480006811966433,,,10.0,3.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
baseline,,,,0.0132978723404255,3769.0,2701.0,0.2701,49.212061405181885,54.884918917775565,,,50.0,1.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_1pct,1.0,,,0.0053908355795148,3719.0,3024.0,0.3024,52.354477405548096,57.76010285759325,,,50.0,1.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_5pct,5.0,,,0.0104166666666666,3841.0,2879.0,0.2879,55.72712826728821,51.662450399224525,,,50.0,1.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_15pct,15.0,,,0.0182767624020887,3831.0,2540.0,0.254,87.38626194000244,29.06635372209776,,,50.0,1.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
