toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,qber_after_reconciliation,secure_key_length,t_verify,verification_passed,keys_match,n_mismatched_bits,elapsed_seconds,faults_fired,non_convergent,error,condition,run,fault_type,prob,key_index,qber
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02334284782409668,{},False,,key0_toeplitz_0.1,31,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.024014949798583984,{},False,,key0_toeplitz_0.1,32,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02660655975341797,{},False,,key0_toeplitz_0.1,33,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.024629592895507812,{},False,,key0_toeplitz_0.1,34,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.020789623260498047,{},False,,key0_toeplitz_0.1,35,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.022680997848510742,{},False,,key0_toeplitz_0.1,36,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.022016525268554688,{},False,,key0_toeplitz_0.1,37,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.02218341827392578,{},False,,key0_toeplitz_0.1,38,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,False,1,0.02400493621826172,{'toeplitz_matrix': 1},False,,key0_toeplitz_0.1,39,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.021868467330932617,{},False,,key0_toeplitz_0.1,40,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.021500587463378906,{},False,,key0_toeplitz_0.1,41,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.023006916046142578,{},False,,key0_toeplitz_0.1,42,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.021347999572753906,{},False,,key0_toeplitz_0.1,43,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.03318643569946289,{},False,,key0_toeplitz_0.1,44,toeplitz,0.1,0,0.01282051282051282
0.1,0.0,0.0,0.0,0.0,1714,0,,True,0,0.03266763687133789,{},False,,key0_toeplitz_0.1,45,toeplitz,0.1,0,0.01282051282051282
