axis,value,condition,run,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,success,fail_reason
attenuation_db_per_km,0.35,attenuation_db_per_km_0.35,3,0.015748031496062992,3815,2631,0.2631,48.9281005859375,53.77278023247401,True,
attenuation_db_per_km,0.35,attenuation_db_per_km_0.35,4,0.005249343832020997,3811,3105,0.3105,49.253166913986206,63.041631524373855,True,
attenuation_db_per_km,0.35,attenuation_db_per_km_0.35,5,0.013020833333333334,3846,2768,0.2768,48.885584592819214,56.62200877938546,True,
attenuation_db_per_km,0.4,attenuation_db_per_km_0.4,1,0.007792207792207792,3854,3012,0.3012,48.97243356704712,61.503988685314866,True,
attenuation_db_per_km,0.4,attenuation_db_per_km_0.4,2,0.010498687664041995,3815,2856,0.2856,48.87380862236023,58.43620705044364,True,
attenuation_db_per_km,0.4,attenuation_db_per_km_0.4,3,0.007772020725388601,3861,3018,0.3018,49.577762603759766,60.874066143741786,True,
attenuation_db_per_km,0.4,attenuation_db_per_km_0.4,4,0.013368983957219251,3747,2682,0.2682,49.12787413597107,54.5922258426456,True,
attenuation_db_per_km,0.4,attenuation_db_per_km_0.4,5,0.0026595744680851063,3762,3205,0.3205,51.73328399658203,61.95237867002125,True,
distance_km,1.0,distance_km_1,1,0.010471204188481676,3822,2862,0.2862,49.27979040145874,58.07654571345907,True,
distance_km,1.0,distance_km_1,2,0.010443864229765013,3831,2870,0.287,48.41123151779175,59.28376349908054,True,
distance_km,1.0,distance_km_1,3,0.013333333333333334,3759,2692,0.2692,48.4426691532135,55.570843784139896,True,
distance_km,1.0,distance_km_1,4,0.010638297872340425,3766,2813,0.2813,48.032886028289795,58.56404294222994,True,
distance_km,1.0,distance_km_1,5,0.007894736842105263,3801,2966,0.2966,48.95437502861023,60.587026149687155,True,
distance_km,10.0,distance_km_10,1,0.010554089709762533,3797,2840,0.284,48.10043478012085,59.0431253476679,True,
distance_km,10.0,distance_km_10,2,0.010554089709762533,3791,2835,0.2835,48.80117607116699,58.092862267616376,True,
distance_km,10.0,distance_km_10,3,0.015384615384615385,3906,2709,0.2709,48.51396918296814,55.83958694006534,True,
distance_km,10.0,distance_km_10,4,0.007936507936507936,3781,2948,0.2948,50.182992696762085,58.745001873716696,True,
distance_km,10.0,distance_km_10,5,0.005263157894736842,3805,3100,0.31,48.82595634460449,63.49081988524256,True,
distance_km,50.0,distance_km_50,1,0.010666666666666666,3759,2807,0.2807,50.71172380447388,55.352091970345555,True,
distance_km,50.0,distance_km_50,2,0.010256410256410256,3904,2934,0.2934,48.96881055831909,59.915688507601615,True,
distance_km,50.0,distance_km_50,3,0.0103359173126615,3872,2906,0.2906,49.56946873664856,58.62479615101232,True,
distance_km,50.0,distance_km_50,4,0.010471204188481676,3829,2868,0.2868,50.69758486747742,56.570742127004685,True,
distance_km,50.0,distance_km_50,5,0.0026455026455026454,3784,3225,0.3225,53.63070034980774,60.13346793841676,True,
distance_km,75.0,distance_km_75,1,0.010723860589812333,3738,2789,0.2789,50.27469277381897,55.47522711968513,True,
distance_km,75.0,distance_km_75,2,0.0026041666666666665,3843,3278,0.3278,47.72392296791077,68.68672556956611,True,
distance_km,75.0,distance_km_75,3,0.005221932114882507,3839,3130,0.313,47.50664162635803,65.88552448345217,True,
distance_km,75.0,distance_km_75,4,0.013054830287206266,3838,2761,0.2761,50.39888525009155,54.78295772414896,True,
distance_km,75.0,distance_km_75,5,0.008130081300813009,3690,2868,0.2868,48.113394021987915,59.609180734356805,True,
distance_km,100.0,distance_km_100,1,0.015665796344647518,3832,2646,0.2646,49.57347655296326,53.37531647942967,True,
distance_km,100.0,distance_km_100,2,0.010610079575596816,3775,2821,0.2821,48.906174421310425,57.681878277741035,True,
