toeplitz_prob,final_key_prob,reconciliation_prob,verify_digest_prob,qber_after_reconciliation,secure_key_length,t_verify,verification_passed,keys_match,n_mismatched_bits,elapsed_seconds,faults_fired,non_convergent,error,condition,run,fault_type,prob,length_mode
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.029666423797607422,{},False,,asymptotic_toeplitz_0.1,13,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.02984333038330078,{},False,,asymptotic_toeplitz_0.1,14,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.028463363647460938,{},False,,asymptotic_toeplitz_0.1,15,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.026713132858276367,{},False,,asymptotic_toeplitz_0.1,16,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.028107881546020508,{},False,,asymptotic_toeplitz_0.1,17,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.026372432708740234,{},False,,asymptotic_toeplitz_0.1,18,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.02686762809753418,{},False,,asymptotic_toeplitz_0.1,19,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.02756500244140625,{},False,,asymptotic_toeplitz_0.1,20,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.028746843338012695,{},False,,asymptotic_toeplitz_0.1,21,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,False,1,0.027840614318847656,{'toeplitz_matrix': 1},False,,asymptotic_toeplitz_0.1,22,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.026324033737182617,{},False,,asymptotic_toeplitz_0.1,23,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.027573823928833008,{},False,,asymptotic_toeplitz_0.1,24,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.026006698608398438,{},False,,asymptotic_toeplitz_0.1,25,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.025803327560424805,{},False,,asymptotic_toeplitz_0.1,26,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.025610923767089844,{},False,,asymptotic_toeplitz_0.1,27,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.028039216995239258,{},False,,asymptotic_toeplitz_0.1,28,toeplitz,0.1,asymptotic
0.1,0.0,0.0,0.0,0.0,3032,34,True,True,0,0.02805161476135254,{},False,,asymptotic_toeplitz_0.1,29,toeplitz,0.1,asymptotic
